greetings,tot de volgende keer
wijzigBusreis,Graag mijn busreis een maand verplaatsen
boekBusreis,Gelieve 2 plaatsen te reserveren voor de bus  van Brugge naar Parijs van morgen
wijzigBusreis,ik wil graag een bus van een ander uur boeken
meldKlachten,De organisatie trok op niets! 
geefReisTijden,"Ik woon in Brugge en wil naar Amsterdam, toon me alle bussen op 12 december"
geefOnboardServices,Is er wifi aanwezig op de bus ?
geefBestemmingen,kan ik van Brugge naar Parijs met de bus ?
geefOnboardServices,Kan ik online boeken lezen op de bus ?
geefBestemmingen,"Ik wel met vrienden naar een festival (Rock Werchter), kunnen wij de bus gebruiken ?"
boekBusreis,Wil je 2 tickets reserveren voor de eerstvolgende bus naar Parijs ?
wijzigBusreis,"Reserveer de volgende bus, ik heb mijn bus gemist"
geefActueleInfo,Zijn er vertragingen voor de bus van Amsterdam naar Gent van 19u25 ?
geefReisTijden,wanneer kan ik reizen op 9 augustus 2020 van Gent naar Amsterdam ?
boekBusreis,Reserveer een ticket naar parijs voor morgen
huurBusMetChauffeur,We zijn als school aan het zoeken naar een bus met een bestuurder voor een klasuitstap
wijzigBusreis,Voor morgen zou ik graag mijn busreis verplaatsen naar de avond
meldKlachten,Ik sta al een uur te wachten aan de halte en de bus is er nog steeds niet !
annuleerBusreis,Gelieve mijn geboekte tickets voor de bus naar Parijs voor morgen te annuleren
geefBestemmingen,Ik zou graag een citytrip doen naar Praag
geefActueleInfo,Zal mijn bus op tijd zijn ?
annuleerBusreis,"Morgen zal het slecht weer zijn, annuleer mijn boeking"
annuleerBusreis,Annuleer mijn reis naar Parijs van 9 augustus
geefReisTijden,"Ik ga met mijn vrienden gaan skieën van 3 februari tot 10 februari in Val d'Isère, geef me alle bussen die ik kan nemen !"
geefOnboardServices,Kunnen mijn kinderen een film kijken ?
boekBusreis,Ik had graag 3 tickets naar Kopenhagen vanuit Malmö
greetings,goeiedag
geefReisTijden,Kan ik morgen om 10 uur in Antwerpen geraken met de bus?
geefActueleInfo,Is er vertraging voor de bus van 7u25 van Brugge naar de Efteling ?
meldKlachten,Bus is te laat en ik weet van niets
